date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
2005-10-15,111.85714285714286,159.3625498007968,110.62052505966588,159.25233644859813,113.34149326805385,155.29411764705884,160.22099447513813,78.6624203821656,112.15880893300249,193.83886255924168,134.21926910299,142.809364548495
2005-11-15,112.28571428571428,159.1633466135458,110.62052505966588,159.06542056074767,113.5862913096695,155.46218487394958,157.2744014732965,78.15286624203821,111.29032258064517,193.83886255924168,134.05315614617942,143.1438127090301
2005-12-15,113.28571428571428,159.1633466135458,109.30787589498807,159.25233644859813,113.5862913096695,155.46218487394958,157.6427255985267,77.8343949044586,115.75682382133996,194.07582938388626,141.5282392026578,143.1438127090301
2006-01-15,114.57142857142857,158.76494023904382,106.44391408114559,160.5607476635514,113.219094247246,155.7983193277311,158.9318600368324,77.5796178343949,111.04218362282879,193.12796208530804,134.7176079734219,144.31438127090303
2006-02-15,115.14285714285712,158.5657370517928,107.27923627684966,160.93457943925233,113.46389228886169,155.63025210084032,158.9318600368324,77.45222929936305,113.27543424317619,194.07582938388626,136.71096345514948,144.64882943143812
2006-03-15,114.71428571428571,158.76494023904382,109.78520286396183,161.1214953271028,113.70869033047737,155.7983193277311,158.9318600368324,77.38853503184714,112.28287841191067,194.54976303317534,135.04983388704318,144.64882943143812
2006-04-15,115.42857142857142,158.76494023904382,110.02386634844869,161.6822429906542,113.70869033047737,155.7983193277311,161.69429097605894,77.13375796178343,111.78660049627791,194.54976303317534,135.04983388704318,144.64882943143812
2006-05-15,116.14285714285715,158.76494023904382,109.54653937947494,161.86915887850466,113.70869033047737,155.96638655462186,162.06261510128914,77.0063694267516,110.29776674937968,194.78672985781992,135.88039867109634,144.8160535117057
2006-06-15,116.14285714285715,158.9641434262948,108.23389021479714,162.05607476635515,113.46389228886169,155.7983193277311,162.98342541436466,76.94267515923566,111.29032258064517,194.78672985781992,138.03986710963454,144.98327759197323
2006-07-15,115.71428571428572,158.9641434262948,106.0859188544153,162.24299065420558,113.34149326805385,155.7983193277311,164.08839779005524,76.43312101910828,113.77171215880895,195.260663507109,141.36212624584715,145.1505016722408
2006-08-15,115.71428571428572,159.1633466135458,105.60859188544154,162.4299065420561,113.219094247246,155.63025210084032,163.16758747697975,76.24203821656052,113.151364764268,196.44549763033174,140.69767441860466,145.1505016722408
2006-09-15,116.2857142857143,159.1633466135458,109.4272076372315,162.24299065420558,113.34149326805385,155.7983193277311,159.85267034990792,76.05095541401275,111.66253101736973,198.34123222748815,136.87707641196013,145.31772575250838
